楼层,分区,活动,活动名称(参考),月份,计划量,完成量,活动开始,活动结束
B2,B2|B2S10,col,,Dec'26,5,,2026-10-30,2026-12-28
B2,B2|B2S10,col,,Nov'26,6,,2026-10-30,2026-12-28
B2,B2|B2S11,col,,Aug'26,4,,2026-08-12,2026-10-08
B2,B2|B2S11,col,,Jul'26,1,,2026-08-12,2026-10-08
B2,B2|B2S11,col,,Sep'26,3,,2026-08-12,2026-10-08
B2,B2|B2S12,col,,Nov'26,7,,2026-10-05,2026-12-01
B2,B2|B2S12,col,,Oct'26,7,,2026-10-05,2026-12-01
B2,B2|B2S12,act_corewall,,Oct'26,1,,2026-10-05,2026-11-13
B2,B2|B2S13,col,,Nov'26,4,,2026-09-30,2026-11-26
B2,B2|B2S13,col,,Oct'26,5,,2026-09-30,2026-11-26
B2,B2|B2S14,col,,Oct'26,4,,2026-09-02,2026-10-29
B2,B2|B2S14,col,,Sep'26,4,,2026-09-02,2026-10-29
B2,B2|B2S7,col,,Feb'27,3,,2027-01-01,2027-03-01
B2,B2|B2S7,col,,Jan'27,3,,2027-01-01,2027-03-01
B2,B2|B2S8,col,,Dec'26,6,,2026-11-02,2026-12-29
B2,B2|B2S8,col,,Nov'26,6,,2026-11-02,2026-12-29
B2,B2|B2S9,col,,Dec'26,3,,2026-10-20,2026-12-16
B2,B2|B2S9,col,,Nov'26,6,,2026-10-20,2026-12-16
B2,B2|B2S9,col,,Oct'26,2,,2026-10-20,2026-12-16
B2,B2|EB22.1,pile,,Jul'26,1,,2026-06-17,2026-07-10
B2,B2|EB22.1,pile,,Jun'26,2,,2026-04-01,2026-07-10
B2,B2|EB22.1,col,,Jun'26,6,,2026-06-17,2026-07-15
B2,B2|EB22.2,pile,,Apr'26,1,,2026-04-09,2026-06-19
B2,B2|EB22.2,col,,Jul'26,3,,2026-06-22,2026-06-30
B2,B2|EB22.2,pile,,Jun'26,1,,2026-04-09,2026-06-19
B2,B2|EB22.2,pile,,May'26,2,,2026-04-09,2026-06-19
B2,B2|EB22.3,col,,Jul'26,6,,2026-07-01,2026-07-09
B2,B2|EB22.3,pile,,Jun'26,6,,2026-06-22,2026-06-30
B2,B2|EB22.4,pile,,Jul'26,4,,2026-07-13,2026-07-21
B2,B2|EB22.4,col,,Jul'26,2,,2026-07-22,2026-07-30
B2,B2|EB23.1A1,col,,Aug'26,3,,2026-08-03,2026-08-11
B2,B2|EB23.1A1,pile,,Jul'26,2,,2026-07-23,2026-07-31
B2,B2|EB23.21,col,,Aug'26,4,,2026-08-12,2026-08-20
B2,B2|EB23.3,col,,Sep'26,7,,2026-09-18,2026-09-28
B2,B2|B2S7,col,Columns,Feb'27,3,,2027-01-01,2027-03-01
B2,B2|B2S7,mbeam,Steel Main Beams,,,,,
B2,B2|B2S7,cbeam,Cast S Main Beams,,,,,
B2,B2|B2S7,ls,Lift / Stairs,,,,,
B2,B2|B2S7,exc,Excavation,,,,,
B2,B2|B2S7,demo,Demolition,,,,,
B2,B2|B2S7,slab,Cast Slab,,,,,
B2,B2|B2S7,act_wall,Wall,,,,,
B2,B2|B2S7,act_corewall,Core Wall,,,,,
B2,B2|B2S7,act_colcorbel,Columns Corbel,,,,,
B2,B2|B2S31,col,Columns,,,,,
B2,B2|B2S31,pile,Pile Caps,,,,,
B2,B2|B2S31,mbeam,Steel Main Beams,,,,,
B2,B2|B2S31,cbeam,Cast S Main Beams,,,,,
B2,B2|B2S31,ls,Lift / Stairs,,,,,
B2,B2|B2S31,exc,Excavation,,,,,
B2,B2|B2S31,demo,Demolition,,,,,
B2,B2|B2S31,slab,Cast Slab,,,,,
B2,B2|B2S31,act_wall,Wall,,,,,
B2,B2|B2S31,act_corewall,Core Wall,,,,,
B2,B2|B2S31,act_colcorbel,Columns Corbel,,,,,
B2,B2|B2S32,col,Columns,,,,,
B2,B2|B2S32,pile,Pile Caps,,,,,
